               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026239,             0.01816,            0.010111,             0.77574,             0.78799,             0.84019,             0.46658,            0.026588,            0.007168,            0.002534,             0.00769,             0.00769,             0.00769
                  37,             0.02561,            0.017939,           0.0093177,             0.83209,             0.76733,             0.84728,              0.4848,            0.023601,           0.0068705,           0.0033873,            0.007624,            0.007624,            0.007624
                  38,            0.026777,            0.018962,           0.0088957,             0.77963,             0.79631,             0.80434,             0.45009,            0.024501,           0.0069876,           0.0052282,            0.007558,            0.007558,            0.007558
                  39,            0.026277,              0.0189,            0.009064,             0.85697,             0.74185,              0.8371,             0.47227,            0.024663,           0.0071944,           0.0034784,            0.007492,            0.007492,            0.007492
                  40,             0.02781,            0.017988,           0.0085059,             0.79425,             0.78009,             0.81645,             0.46125,            0.022356,            0.007077,           0.0033099,            0.007426,            0.007426,            0.007426
                  41,            0.024507,             0.01809,           0.0093014,              0.7996,             0.75938,             0.77331,             0.44376,            0.023164,           0.0071669,            0.004721,             0.00736,             0.00736,             0.00736
                  42,            0.025188,            0.017847,           0.0091314,             0.71886,             0.71063,              0.7726,             0.40665,            0.022911,           0.0073723,           0.0048614,            0.007294,            0.007294,            0.007294
                  43,            0.026756,            0.018658,           0.0097398,             0.80309,              0.7549,             0.81996,             0.46254,            0.023499,           0.0073107,           0.0047326,            0.007228,            0.007228,            0.007228
                  44,            0.027549,            0.018027,            0.011511,             0.74885,             0.75739,             0.78545,             0.45363,            0.024642,             0.00756,           0.0063818,            0.007162,            0.007162,            0.007162
                  45,            0.025917,            0.018251,            0.011757,              0.8083,             0.79207,             0.82032,             0.46646,            0.027033,           0.0073171,           0.0040591,            0.007096,            0.007096,            0.007096
                  46,            0.024372,            0.017878,           0.0097888,             0.81406,             0.77296,             0.82344,             0.46924,             0.02436,           0.0073057,           0.0042302,             0.00703,             0.00703,             0.00703
                  47,            0.023522,            0.017639,            0.010332,              0.7821,             0.78452,             0.82376,             0.46395,            0.023658,           0.0072848,           0.0055366,            0.006964,            0.006964,            0.006964
                  48,            0.027129,            0.018917,           0.0099029,             0.81121,             0.84222,             0.82282,             0.47898,            0.020339,           0.0073388,           0.0062478,            0.006898,            0.006898,            0.006898
                  49,            0.024756,            0.017685,           0.0081703,              0.7752,             0.77936,             0.81782,             0.44233,            0.021419,           0.0071956,           0.0034914,            0.006832,            0.006832,            0.006832
                  50,            0.023959,            0.017471,           0.0093419,             0.84457,              0.7763,             0.85135,             0.48054,            0.022006,           0.0074862,           0.0040232,            0.006766,            0.006766,            0.006766
                  51,            0.023733,            0.018298,           0.0097449,              0.7658,              0.8056,             0.83519,             0.48077,            0.022884,           0.0071781,           0.0035213,              0.0067,              0.0067,              0.0067
                  52,            0.025781,            0.018152,           0.0096989,             0.73327,             0.77685,             0.80614,             0.45483,            0.023677,           0.0073217,           0.0055883,            0.006634,            0.006634,            0.006634
                  53,            0.025323,            0.018642,           0.0080259,             0.72854,             0.74325,             0.74937,             0.44127,            0.023774,           0.0069971,           0.0082537,            0.006568,            0.006568,            0.006568
                  54,            0.024545,            0.017406,           0.0089459,               0.793,             0.78859,             0.80405,             0.44697,            0.021467,           0.0067455,           0.0070429,            0.006502,            0.006502,            0.006502
                  55,            0.023839,            0.017863,           0.0094891,              0.8501,             0.80005,             0.83994,             0.49256,            0.022699,           0.0069278,            0.003741,            0.006436,            0.006436,            0.006436
                  56,            0.023776,            0.017138,           0.0090664,              0.7372,              0.7304,             0.78576,             0.41692,             0.02365,            0.007526,            0.003124,             0.00637,             0.00637,             0.00637
                  57,            0.024488,            0.017458,           0.0077349,             0.75553,             0.80419,             0.80176,             0.46306,              0.0243,           0.0068674,           0.0036478,            0.006304,            0.006304,            0.006304
                  58,            0.022383,            0.017164,           0.0069303,             0.80412,             0.77072,              0.8113,             0.46238,            0.023418,           0.0071542,           0.0038428,            0.006238,            0.006238,            0.006238
                  59,            0.023983,            0.017095,           0.0084994,             0.82496,             0.72434,             0.81577,             0.46851,            0.025768,           0.0068467,           0.0037776,            0.006172,            0.006172,            0.006172
